Time,Subject,Canada,France,Germany,Italy,Japan,United Kingdom,United States,G7,OECD_Total,Euro_Area_19,European_Union_27
2018-Q2,Employment rate,73.36667,65.22012,65.22012,58.62347,76.84132,75.5488,70.62726,71.30962,68.31924,67.16958,67.56612
2018-Q3,Employment rate,73.56667,65.47034,65.47034,58.57565,77.04585,75.55268,70.76056,71.46055,68.4462,67.42029,67.80168
2018-Q4,Employment rate,73.76667,65.48353,65.48353,58.62487,77.26161,75.83308,70.9825,71.65031,68.47833,67.58005,67.94086
2019-Q1,Employment rate,73.93333,65.51273,65.51273,58.87818,77.45248,76.05695,71.04494,71.78889,68.57526,67.81876,68.18127
2019-Q2,Employment rate,74.23333,65.56136,65.56136,58.93628,77.66978,76.10236,71.15202,71.91454,68.66522,67.95071,68.34627
2019-Q3,Employment rate,74.2,65.3323,65.3323,59.05666,77.86893,76.04665,71.49626,72.09005,68.78507,67.94765,68.44585
2019-Q4,Employment rate,74.13333,65.91389,65.91389,59.28461,77.97112,76.4713,71.68321,72.29961,68.92485,68.1619,68.58144
2020-Q1,Employment rate,73.03333,65.98866,65.98866,59.16529,77.90775,76.34015,71.3288,72.03291,68.57382,68.03338,68.45899
2020-Q2,Employment rate,64.66666,64.44196,64.44196,57.01668,77.08376,75.84628,62.33438,67.20819,63.49712,66.17143,66.77092
2020-Q3,Employment rate,70.23333,65.08636,65.08636,57.67551,77.10834,75.25354,66.48574,69.32597,65.71066,66.75845,67.44785
2020-Q4,Employment rate,71.96667,65.5986,65.5986,58.47471,77.29601,74.96857,67.92576,70.1217,66.64094,67.26781,67.80762
